Date,Open,Low,High,Close,Volume,Amount
2014-09-26 00:00:00,8.411,8.024,8.440,8.099,292471,1614590000.00
2014-10-03 00:00:00,8.158,8.127,8.358,8.316,111032,616381300.00
2014-10-10 00:00:00,8.300,8.158,8.575,8.190,204353,1151067000.00
2014-10-17 00:00:00,8.115,7.851,8.540,7.904,374825,2058348000.00
2014-10-24 00:00:00,7.923,7.205,8.050,7.258,269271,1411780000.00
2014-10-31 00:00:00,7.098,6.749,7.250,6.974,412299,1950266000.00
2014-11-07 00:00:00,6.992,6.957,7.217,6.980,276092,1322224000.00
2014-11-14 00:00:00,6.986,6.210,7.031,6.304,360688,1595459000.00
2014-11-21 00:00:00,6.373,6.228,6.884,6.646,336977,1511065000.00
2014-11-28 00:00:00,6.704,6.354,7.447,7.118,512561,2430348000.00
2014-12-05 00:00:00,7.085,6.851,7.637,6.954,609519,2994954000.00
2014-12-12 00:00:00,6.849,6.362,7.186,7.126,484636,2229606000.00
2014-12-19 00:00:00,7.123,6.476,7.262,6.531,357482,1667169000.00
2014-12-26 00:00:00,6.496,6.279,7.050,6.868,334027,1522871000.00
2015-01-02 00:00:00,6.946,6.863,7.394,7.144,277291,1332999000.00
2015-01-09 00:00:00,7.144,6.810,8.932,8.639,875218,4809957000.00
2015-01-16 00:00:00,8.765,8.457,9.676,9.588,671651,4034067000.00
2015-01-23 00:00:00,9.345,9.018,10.559,9.603,737717,4871598000.00
2015-01-30 00:00:00,9.676,9.255,10.092,9.389,408266,2667618000.00
2015-02-06 00:00:00,9.304,9.289,10.798,10.210,518313,3548621000.00
2015-02-13 00:00:00,10.286,9.648,10.858,10.512,502924,3476361000.00
2015-02-20 00:00:00,10.561,10.407,11.121,10.863,221878,1610355000.00
2015-02-27 00:00:00,10.876,10.479,12.130,12.130,326318,2485920000.00
2015-03-06 00:00:00,12.121,11.327,12.745,11.484,574895,4650793000.00
2015-03-13 00:00:00,11.467,11.383,12.407,12.275,396890,3161529000.00
2015-03-20 00:00:00,12.838,12.350,13.835,13.320,647998,5672281000.00
2015-03-27 00:00:00,13.322,12.836,14.230,13.374,733841,6592679000.00
2015-04-03 00:00:00,13.436,13.033,14.960,14.573,638861,6007848000.00
2015-04-10 00:00:00,14.749,13.172,15.576,15.576,566308,5487322000.00
2015-04-17 00:00:00,15.994,14.354,16.658,14.501,764077,7911700000.00
2015-04-24 00:00:00,14.400,13.506,18.211,17.494,1657284,9352323000.00
2015-05-01 00:00:00,17.544,15.043,17.734,16.182,1355860,6746700000.00
2015-05-08 00:00:00,16.205,15.040,17.106,17.106,1353268,6559804000.00
2015-05-15 00:00:00,17.367,16.879,18.659,18.081,985507,5310100000.00
2015-06-19 00:00:00,19.904,17.377,21.910,17.504,1776330,10952480000.00
2015-06-26 00:00:00,17.470,15.504,20.064,15.504,1134639,6163926000.00
2015-07-03 00:00:00,15.858,12.706,17.477,17.210,2097007,9855658000.00
2015-07-10 00:00:00,18.846,14.573,18.846,14.573,646754,3228651000.00
2015-07-17 00:00:00,16.045,14.783,18.479,18.298,1468337,7642481000.00
2015-07-24 00:00:00,18.545,17.884,20.148,19.180,1589491,9068370000.00
2015-07-31 00:00:00,19.213,17.043,20.622,17.811,1814574,10433980000.00
2015-08-07 00:00:00,17.210,16.015,18.045,17.878,937081,4830105000.00
2015-08-14 00:00:00,17.988,17.210,19.106,17.844,785325,4322041000.00
2015-08-21 00:00:00,17.677,14.556,17.697,14.589,791542,3910848000.00
2015-08-28 00:00:00,13.705,11.792,14.873,14.422,1322995,5234283000.00
2015-09-04 00:00:00,14.205,13.064,14.853,14.442,603146,2570265000.00
2015-09-11 00:00:00,14.539,14.008,15.594,15.000,601848,2739720000.00
2015-09-18 00:00:00,15.043,13.284,15.741,15.431,617918,2733309000.00
2015-09-25 00:00:00,15.207,15.143,16.866,15.664,544249,2648725000.00
2015-10-02 00:00:00,15.641,15.641,18.041,17.447,464001,2421880000.00
2015-10-09 00:00:00,18.078,17.707,18.779,18.445,209163,1158162000.00
2015-10-16 00:00:00,18.462,18.148,21.466,20.458,793186,4631608000.00
2015-10-23 00:00:00,20.642,19.397,21.320,20.455,976890,5988520000.00
2015-10-30 00:00:00,20.679,19.867,22.448,19.967,911185,5748585000.00
2015-11-06 00:00:00,19.547,19.380,22.051,21.867,844802,5365639000.00
2015-11-13 00:00:00,21.880,20.986,23.753,21.767,1084361,7298808000.00
2015-11-20 00:00:00,21.330,19.527,22.541,20.545,1127000,7059104000.00
2015-11-27 00:00:00,20.205,19.253,21.046,19.577,767078,4687420000.00
2015-12-04 00:00:00,19.580,19.213,20.582,19.814,578638,3497033000.00
2015-12-11 00:00:00,20.054,19.754,22.625,21.276,894852,5733390000.00
2015-12-18 00:00:00,20.916,20.174,21.850,21.450,724439,4601953000.00
2015-12-25 00:00:00,21.223,20.719,22.375,21.320,577646,3733445000.00
2016-01-01 00:00:00,21.617,19.750,21.784,19.877,405408,2507463000.00
2016-01-08 00:00:00,19.747,14.896,19.831,16.659,844566,4491705000.00
2016-01-15 00:00:00,16.212,15.951,18.866,18.041,1126957,5970802000.00
2016-01-22 00:00:00,17.707,16.749,18.879,17.494,623381,3400410000.00
2016-01-29 00:00:00,17.627,16.342,18.245,17.277,525630,2739297000.00
2016-02-05 00:00:00,17.193,17.076,19.176,18.485,480618,2659703000.00
2016-02-19 00:00:00,18.045,18.008,19.957,19.166,459714,2672797000.00
2016-02-26 00:00:00,19.283,17.073,19.470,17.894,572536,3186174000.00
2016-03-04 00:00:00,17.797,16.268,18.111,16.569,669126,3484831000.00
2016-03-11 00:00:00,16.726,16.065,17.597,16.776,380655,1944553000.00
2016-03-18 00:00:00,17.043,17.003,19.126,18.769,487287,2653997000.00
2016-03-25 00:00:00,18.946,18.482,19.440,19.089,503269,2866743000.00
2016-04-01 00:00:00,19.180,18.282,19.781,19.510,421744,2438911000.00
2016-04-08 00:00:00,19.380,18.732,20.098,18.963,277852,1636045000.00
2016-04-15 00:00:00,19.153,19.113,19.927,19.513,315597,1865641000.00
2016-04-22 00:00:00,19.380,18.178,19.537,18.836,277492,1583700000.00
2016-04-29 00:00:00,18.866,18.512,22.251,21.219,612665,3809185000.00
2016-05-06 00:00:00,21.203,20.542,21.961,20.645,470479,3003461000.00
2016-05-13 00:00:00,20.649,19.807,21.303,20.876,526518,3288029000.00
2016-05-20 00:00:00,20.685,20.488,22.525,22.184,585434,3809889000.00
2016-05-27 00:00:00,22.184,20.889,22.979,21.300,495344,3265740000.00
2016-06-03 00:00:00,21.246,20.882,23.443,22.965,608368,4090891000.00
2016-06-10 00:00:00,22.969,22.588,23.433,22.952,321687,2222988000.00
2016-06-17 00:00:00,22.652,21.884,23.286,22.071,551330,3739365000.00
2016-06-24 00:00:00,21.954,21.119,22.448,21.607,391446,2571590000.00
2016-07-01 00:00:00,21.583,21.583,22.945,22.578,358982,2412597000.00
2016-07-08 00:00:00,22.451,21.887,23.102,22.067,394845,2659638000.00
2016-07-15 00:00:00,22.051,22.051,25.082,24.855,763249,5436186000.00
2016-07-22 00:00:00,24.688,23.680,25.109,23.837,422948,3087160000.00
2016-07-29 00:00:00,23.723,23.666,25.456,24.751,547178,4037523000.00
2016-08-05 00:00:00,24.741,23.810,25.032,24.615,387735,2845251000.00
2016-08-12 00:00:00,24.454,23.787,25.149,24.217,383738,2820787000.00
2016-08-19 00:00:00,24.287,23.496,24.605,23.700,522094,3755117000.00
2016-08-26 00:00:00,23.623,23.496,24.237,24.017,307007,2200436000.00
2016-09-02 00:00:00,24.007,22.168,24.381,22.338,444456,3094504000.00
2016-09-09 00:00:00,22.354,22.117,23.483,22.351,388913,2677386000.00
2016-09-16 00:00:00,21.977,21.884,22.578,22.127,191944,1282802000.00
2016-09-23 00:00:00,21.620,21.613,22.869,22.131,308508,2074162000.00
2016-09-30 00:00:00,22.351,22.328,23.580,23.219,338162,2336056000.00
2016-10-14 00:00:00,23.343,21.283,23.860,21.283,556200,3711841000.00
2016-10-21 00:00:00,21.216,20.241,21.266,20.455,657551,4110095000.00
2016-10-28 00:00:00,20.415,20.365,21.239,20.939,449510,2807093000.00
2016-11-04 00:00:00,20.916,19.734,20.932,19.791,471260,2890930000.00
2016-11-11 00:00:00,19.740,19.240,20.008,19.847,560186,3307420000.00
2016-11-18 00:00:00,19.921,19.383,20.448,19.627,472919,2834478000.00
2016-11-25 00:00:00,19.544,19.417,19.941,19.861,392015,2320355000.00
2016-12-02 00:00:00,19.937,19.263,20.542,19.263,530803,3191131000.00
